,ID,name,number of games,rating,rating count,avg rating
0,1,PC,234079,95163.47000000015,24975,3.8103491491491552
13,14,Web,88574,1731.3,455,3.805054945054945
3,4,iOS,66313,7683.639999999999,2003,3.8360659011482774
5,5,Apple Macintosh,54825,21540.34999999999,5565,3.8706828391734036
6,6,Linux,36499,10841.749999999995,2737,3.9611801242236004
4,8,Android,30130,1792.8,513,3.494736842105263
7,7,Nintendo,15439,41574.059999999976,10814,3.844466432402439
1,2,PlayStation,15290,80981.22000000013,21113,3.835609340216934
2,3,Xbox,6668,76381.75000000004,20132,3.794046791178226
9,10,Commodore / Amiga,2025,0.0,0,
10,11,SEGA,1981,0.0,0,
8,9,Atari,1635,0.0,0,
12,13,Neo Geo,97,0.0,0,
11,12,3DO,88,0.0,0,
